tilt,solar_kw,battery_kwh,annual_solar_kwh,august_kwh,annual_import_kwh,annual_export_kwh,annual_bill,first_year_saving,roof_fits_22pct_90pct,upfront,annual_equipment,annual_net_saving,npv
13,4.0,27.0,6186.44,615.6399999999999,5113.022840214497,0.0,1743.662724184755,2559.592735977915,True,46240.0,3932.71809949636,-1490.9701611612509,-21013.650801033476
13,4.5,27.0,6959.745,692.5949999999999,4403.88809101018,0.9333239085906841,1417.7674886267118,2885.487971535958,True,47520.0,4029.9372448393738,-1277.298433768191,-18002.173319824673
13,5.0,27.0,7733.049999999999,769.55,3697.946969957633,2.533353244198959,1160.2450711888196,3143.0103889738502,True,48800.0,4127.156390182388,-1128.8516092811233,-15909.972004498559
13,5.5,27.0,8506.355,846.5049999999999,3044.1692288156937,60.22775685459478,941.4999262466231,3361.7555339160467,True,50080.0,4224.3755355254025,-1017.3967342709125,-14339.133174489196
13,6.0,27.0,9279.66,923.4599999999999,2499.6544961665722,237.76234611716,761.2336766761331,3542.0217834865366,True,51360.0,4321.594680868416,-942.6491690301896,-13285.645133539645
13,6.5,27.0,10052.965,1000.4149999999997,2004.8849119447323,469.1694327080078,627.8275043748008,3675.427955787869,True,52640.0,4418.81382621143,-912.6042220825598,-12862.193316769995
13,7.0,27.0,10826.27,1077.37,1590.9401455326379,789.259366202055,525.336586790892,3777.918873371778,False,53920.0,4516.032971554444,-912.0511776584503,-12854.398739314034
13,7.5,27.0,11599.574999999999,1154.3249999999998,1235.6086727648383,1173.5956667010714,442.9868652619209,3860.268594900749,False,55200.0,4613.252116897458,-930.7120195887878,-13117.403611035934
13,8.0,27.0,12372.88,1231.2799999999997,968.1726591350457,1654.859018529365,435.4636459461488,3867.791814216521,False,56480.0,4710.471262240472,-1020.7543180077892,-14386.454773552588
13,8.5,27.0,13146.185,1308.235,769.2024605395809,2211.5923939185554,442.4040270867268,3860.851433075943,False,57760.0,4807.690407583486,-1124.5943062306342,-15849.969811304109
