truss,stage,case,physical_member,maximum_compression_lb,maximum_tension_lb
T1,complete,live_only,T1 future hanger 4,0.0,871.9678691738726
T1,complete,live_only,T1 future hanger 5,0.0,115.24293579790005
T1,complete,live_only,T1 top / segment 1,2522.5176653263634,47.11099288387296
T1,complete,machine200,T1 upper lower chord,611.0635886362846,2385.2321058308594
T1,complete,machine200,T1 future floor beam,0.0,698.5987012172911
T1,complete,machine200,T1 vertical 1,0.0,1288.2548836247893
T1,complete,machine200,T1 vertical 2,0.0,1096.4783049353578
T1,complete,machine200,T1 vertical 3,46.193244877857744,0.0
T1,complete,machine200,T1 vertical 4,0.0,1169.645219120745
T1,complete,machine200,T1 vertical 5,0.0,682.8490672885358
T1,complete,machine200,T1 diagonal 6,3368.676536619778,0.0
T1,complete,machine200,T1 diagonal 7,0.0,1399.075177103429
T1,complete,machine200,T1 diagonal 8,0.0,1371.2934825345976
T1,complete,machine200,T1 diagonal 9,3444.461729240336,0.0
T1,complete,machine200,T1 future hanger 1,0.0,358.6112356664609
T1,complete,machine200,T1 future hanger 2,0.0,1117.817416106031
T1,complete,machine200,T1 future hanger 3,0.0,1458.581235459106
T1,complete,machine200,T1 future hanger 4,0.0,1188.318068090154
T1,complete,machine200,T1 future hanger 5,0.0,200.82012895164453
T1,complete,machine200,T1 top / segment 1,3909.7620073806,84.10047166018977
T1,complete,uplift20_sensitivity,T1 upper lower chord,89.05804058796498,503.272061195815
T1,complete,uplift20_sensitivity,T1 future floor beam,0.0,144.01430447255294
T1,complete,uplift20_sensitivity,T1 vertical 1,0.0,270.3714858418241
T1,complete,uplift20_sensitivity,T1 vertical 2,0.0,198.31830302978437
T1,complete,uplift20_sensitivity,T1 vertical 3,26.320290681061763,0.0
T1,complete,uplift20_sensitivity,T1 vertical 4,0.0,205.0520565381674
T1,complete,uplift20_sensitivity,T1 vertical 5,0.0,175.3163890400637
T1,complete,uplift20_sensitivity,T1 diagonal 6,695.4088959259783,0.0
T1,complete,uplift20_sensitivity,T1 diagonal 7,0.0,277.4585523049879
T1,complete,uplift20_sensitivity,T1 diagonal 8,0.0,264.1837447495049
T1,complete,uplift20_sensitivity,T1 diagonal 9,682.9550546066627,0.0
T1,complete,uplift20_sensitivity,T1 future hanger 1,0.0,96.6173733489716
T1,complete,uplift20_sensitivity,T1 future hanger 2,0.0,182.46160188662478
T1,complete,uplift20_sensitivity,T1 future hanger 3,0.0,238.2894849275972
T1,complete,uplift20_sensitivity,T1 future hanger 4,0.0,188.33009089894085
T1,complete,uplift20_sensitivity,T1 future hanger 5,0.0,100.39413380234896
T1,complete,uplift20_sensitivity,T1 top / segment 1,798.6755042096995,5.446696539176469
T1,complete,strength_screen,T1 upper lower chord,964.7503856442523,3457.132763498355
T1,complete,strength_screen,T1 future floor beam,0.0,1076.1929401391997
T1,complete,strength_screen,T1 vertical 1,0.0,1878.9921083742083
T1,complete,strength_screen,T1 vertical 2,0.0,1624.2029948969032
T1,complete,strength_screen,T1 vertical 3,60.36135372229658,0.0
T1,complete,strength_screen,T1 vertical 4,0.0,1947.9503841375179
T1,complete,strength_screen,T1 vertical 5,0.0,1132.703281812296
T1,complete,strength_screen,T1 diagonal 6,4940.112883698906,0.0
T1,complete,strength_screen,T1 diagonal 7,0.0,2070.9849368682444
T1,complete,strength_screen,T1 diagonal 8,0.0,1817.6021566202583
T1,complete,strength_screen,T1 diagonal 9,5221.586299299839,0.0
T1,complete,strength_screen,T1 future hanger 1,0.0,503.67997084849424
T1,complete,strength_screen,T1 future hanger 2,0.0,1672.287187188853
T1,complete,strength_screen,T1 future hanger 3,0.0,2061.452635383288
T1,complete,strength_screen,T1 future hanger 4,0.0,1999.4416964107475
T1,complete,strength_screen,T1 future hanger 5,0.0,395.050185322988
T1,complete,strength_screen,T1 top / segment 1,5733.2969562373755,107.62474121078084
T1,complete,HB0.25,T1 upper lower chord,599.162612673331,2356.0860523367405
T1,complete,HB0.25,T1 future floor beam,0.0,705.8191300241332
T1,complete,HB0.25,T1 vertical 1,0.0,1280.3844066522774
T1,complete,HB0.25,T1 vertical 2,0.0,1112.2499228853383
T1,complete,HB0.25,T1 vertical 3,47.70014323946116,0.0
T1,complete,HB0.25,T1 vertical 4,0.0,1164.290077606447
T1,complete,HB0.25,T1 vertical 5,0.0,678.4801319289429
T1,complete,HB0.25,T1 diagonal 6,3344.7590970815995,0.0
T1,complete,HB0.25,T1 diagonal 7,0.0,1352.7943604653346
T1,complete,HB0.25,T1 diagonal 8,0.0,1323.5426390310363
T1,complete,HB0.25,T1 diagonal 9,3386.845322738915,0.0
T1,complete,HB0.25,T1 future hanger 1,0.0,349.8920174817718
T1,complete,HB0.25,T1 future hanger 2,0.0,1134.399148113894
T1,complete,HB0.25,T1 future hanger 3,0.0,1402.5294310826023
T1,complete,HB0.25,T1 future hanger 4,0.0,1181.8949363882045
T1,complete,HB0.25,T1 future hanger 5,0.0,197.66649486539194
T1,complete,HB0.25,T1 top / segment 1,3848.934136415694,57.985767170047225
T1,complete,HB0.5,T1 upper lower chord,598.0836553744714,2354.8895350739012
T1,complete,HB0.5,T1 future floor beam,0.0,711.2387396516544
T1,complete,HB0.5,T1 vertical 1,0.0,1284.7583583189198
T1,complete,HB0.5,T1 vertical 2,0.0,1111.9330955129642
T1,complete,HB0.5,T1 vertical 3,48.15384419175278,0.0
T1,complete,HB0.5,T1 vertical 4,0.0,1174.418450144609
T1,complete,HB0.5,T1 vertical 5,0.0,685.0804456602484
T1,complete,HB0.5,T1 diagonal 6,3351.700426488856,0.0
T1,complete,HB0.5,T1 diagonal 7,0.0,1361.9592491792491
T1,complete,HB0.5,T1 diagonal 8,0.0,1312.5330438191336
T1,complete,HB0.5,T1 diagonal 9,3391.176079121517,0.0
T1,complete,HB0.5,T1 future hanger 1,0.0,351.42329938340316
T1,complete,HB0.5,T1 future hanger 2,0.0,1134.4558534347636
T1,complete,HB0.5,T1 future hanger 3,0.0,1400.9406702172212
T1,complete,HB0.5,T1 future hanger 4,0.0,1191.7639438624442
T1,complete,HB0.5,T1 future hanger 5,0.0,193.76737475089686
T1,complete,HB0.5,T1 top / segment 1,3856.691898495326,45.15709561847766
T1,complete,HB0.75,T1 upper lower chord,596.2844202567284,2352.3948573065363
T1,complete,HB0.75,T1 future floor beam,0.0,704.434013886644
T1,complete,HB0.75,T1 vertical 1,0.0,1283.3587569493347
T1,complete,HB0.75,T1 vertical 2,0.0,1104.608977950518
T1,complete,HB0.75,T1 vertical 3,47.88289346676869,0.0
T1,complete,HB0.75,T1 vertical 4,0.0,1174.1031286578698
T1,complete,HB0.75,T1 vertical 5,0.0,683.3641494465668
T1,complete,HB0.75,T1 diagonal 6,3344.156409203315,0.0
T1,complete,HB0.75,T1 diagonal 7,0.0,1365.0621291067791
T1,complete,HB0.75,T1 diagonal 8,0.0,1310.9725583769393
T1,complete,HB0.75,T1 diagonal 9,3389.261604359676,0.0
T1,complete,HB0.75,T1 future hanger 1,0.0,355.5424466460091
T1,complete,HB0.75,T1 future hanger 2,0.0,1126.856389927468
T1,complete,HB0.75,T1 future hanger 3,0.0,1402.2060129437866
T1,complete,HB0.75,T1 future hanger 4,0.0,1191.3690901431917
T1,complete,HB0.75,T1 future hanger 5,0.0,192.12790285116824
T1,complete,HB0.75,T1 top / segment 1,3851.1759613271333,47.75307396960318
T1,complete,HT0.25,T1 upper lower chord,754.8668032119714,3399.661707572695
T1,complete,HT0.25,T1 future floor beam,0.0,808.2788234245266
T1,complete,HT0.25,T1 vertical 1,0.0,1764.3594960602752
T1,complete,HT0.25,T1 vertical 2,0.0,2126.1941914303266
T1,complete,HT0.25,T1 vertical 3,53.25730862138487,0.0
T1,complete,HT0.25,T1 vertical 4,0.0,1072.1449265057786
T1,complete,HT0.25,T1 vertical 5,0.0,740.6485272615683
T1,complete,HT0.25,T1 diagonal 6,4712.585715690838,0.0
T1,complete,HT0.25,T1 diagonal 7,0.0,972.948957056578
T1,complete,HT0.25,T1 diagonal 8,0.0,1980.7769606136578
T1,complete,HT0.25,T1 diagonal 9,3867.7447439905986,0.0
T1,complete,HT0.25,T1 future hanger 1,0.0,453.8113989542134
T1,complete,HT0.25,T1 future hanger 2,0.0,2193.5976642992728
T1,complete,HT0.25,T1 future hanger 3,0.0,1548.3883559119165
T1,complete,HT0.25,T1 future hanger 4,0.0,1094.5037243806207
T1,complete,HT0.25,T1 future hanger 5,0.0,212.74671285449588
T1,complete,HT0.25,T1 top / segment 1,4682.082178425417,173.75679379753157
T1,complete,HT0.5,T1 upper lower chord,786.3707321964155,3119.8703906508113
T1,complete,HT0.5,T1 future floor beam,0.0,859.4849501236071
