tilt,solar_kw,battery_kwh,annual_pv_kwh,imports_kwh,exports_kwh,battery_discharge_kwh,annual_bill,first_year_saving,upfront,annual_equipment,annual_net_saving,npv
30,4.0,0.0,6459.280000000001,6948.719067869424,2311.751386415147,0.0,2761.110782364846,1542.144677797824,20240.0,1555.5364259614062,-84.39278084215789,-1189.4271749637383
30,5.0,0.0,8074.1,6706.603513564246,3684.4558321099685,0.0,2591.277954145693,1711.9775060169768,22800.0,1749.974716647434,-116.81742289697013,-1646.4182826581064
30,6.0,0.0,9688.920000000002,6534.340250686464,5127.012569232187,0.0,2448.502662436108,1854.7527977265618,25360.0,1944.413007333462,-175.0538603440773,-2467.199403761563
30,5.0,13.5,8074.1,3670.347629309576,310.83818293811163,3036.2558842546705,1133.7563541298487,3169.499106032821,37050.0,3052.853133873323,-29.279188327716838,-412.65925722962186
30,5.64,13.5,9107.5848,3182.183620978008,814.8491349820157,3408.0444408754165,923.6309276569809,3379.624532505689,38688.4,3177.29363991238,46.73146322173352,658.6306521372684
30,6.0,13.5,9688.920000000002,2992.072136601188,1191.1591091374341,3542.268114085276,838.633436810996,3464.6220233516738,39610.0,3247.2914245593506,57.81784681746922,814.8815279734802
30,6.5,13.5,10496.33,2789.859484767746,1781.3868918637136,3676.9942030477805,741.4405176868017,3561.814942475868,40890.0,3344.5105699023643,53.31681500731065,751.4442351510963
30,7.0,13.5,11303.74,2629.9387810692324,2417.5792143287686,3778.6669675756602,660.3399003147574,3642.9155598479124,42170.0,3441.729715245379,33.46437823570341,471.6450917911634
30,8.0,13.5,12918.560000000001,2397.9472106870226,3785.38838758419,3913.840274836984,659.4763027545449,3643.779157408125,44730.0,3636.1680059314067,-160.15007530914227,-2257.146283654937
30,6.0,27.0,9688.920000000002,2123.0440936551413,225.57239475293775,4411.296157031323,673.8997441847504,3629.3557159779193,51360.0,4321.594680868416,-859.3361299634275,-12111.435779303978
35,4.0,0.0,6458.4,6965.816905859472,2327.969224405195,0.0,2768.79884036556,1534.4566197971099,20240.0,1555.5364259614062,-91.72687720412182,-1292.7935225312876
35,5.0,0.0,8073.0,6723.5603392879675,3700.3126578336905,0.0,2599.019878349982,1704.235581812688,22800.0,1749.974716647434,-124.20290543833494,-1750.5088641895936
35,6.0,0.0,9687.6,6551.083339253268,5142.43565779899,0.0,2456.489255728721,1846.7662044339486,25360.0,1944.413007333462,-182.67274729919586,-2574.579574161967
35,5.0,13.5,8073.0,3688.096869244049,327.5754688960011,3035.46347004392,1141.236684353427,3162.0187758092425,37050.0,3052.853133873323,-36.41512079257882,-513.2326938164266
35,5.64,13.5,9106.344000000001,3207.6207285293967,840.0371513594168,3399.1190614413053,933.3810800885269,3369.874380074143,38688.4,3177.29363991238,37.43021218146441,527.5393355808486
35,6.0,13.5,9687.6,3020.0090676952987,1219.0198005123566,3531.07427155797,847.8004449821177,3455.455015180552,39610.0,3247.2914245593506,49.07289181431088,691.6306169264092
35,6.5,13.5,10494.900000000001,2817.4812273139237,1808.7084538820482,3666.8258277983723,749.8964917566274,3553.3589684060425,40890.0,3344.5105699023643,45.25015777649833,637.7532153067452
35,7.0,13.5,11302.2,2660.2283661352167,2447.6965678200904,3766.357051747633,666.7787242242036,3636.476735938466,42170.0,3441.729715245379,27.32200066711448,385.0747628357558
35,8.0,13.5,12916.8,2421.647014371565,3807.9726676643777,3908.03998727618,663.1522225545372,3640.1032376081325,44730.0,3636.1680059314067,-163.65675411274788,-2306.569220323877
35,6.0,27.0,9687.6,2109.1844883638014,206.99249014402668,4441.898850889466,678.9535921471656,3624.301868015504,51360.0,4321.594680868416,-864.1572964988022,-12179.385033197224
40,4.0,0.0,6421.64,6989.3227044964115,2314.715023042133,0.0,2780.847752594509,1522.4077075681607,20240.0,1555.5364259614062,-103.22105210963741,-1454.7917864820456
40,5.0,0.0,8027.050000000001,6746.309566084587,3677.111884630309,0.0,2611.316976584344,1691.9384835783258,22800.0,1749.974716647434,-135.93383975425354,-1915.8440021460601
40,6.0,0.0,9632.46,6572.053743819174,5108.266062364897,0.0,2468.609723328547,1834.645736834123,25360.0,1944.413007333462,-194.23518313421755,-2737.539903869213
40,5.0,13.5,8027.050000000001,3742.1737391928605,339.1831880839459,3004.135826891726,1162.7120078033222,3140.5434523593476,37050.0,3052.853133873323,-56.901710718310824,-801.9695565769804
40,5.64,13.5,9054.5124,3256.3175141408974,839.9579595541963,3371.6184581917973,953.327840092664,3349.927620070006,38688.4,3177.29363991238,18.401809954827513,259.35408941822277
40,6.0,13.5,9632.46,3065.8216089821217,1212.4525792126149,3506.2321348370533,865.6049688789891,3437.650491283681,39610.0,3247.2914245593506,32.08809618368332,452.2478488427471
40,6.5,13.5,10435.165,2861.150665749099,1795.1938480515703,3643.86722618925,765.6169151873703,3537.6385449752997,40890.0,3344.5105699023643,30.253509691737236,426.3912885236434
40,7.0,13.5,11237.869999999999,2700.6475700051924,2425.9134941590337,3747.207549526921,679.8464452712337,3623.409014891436,42170.0,3441.729715245379,14.855923358479231,209.37856029182058
40,8.0,13.5,12843.28,2453.774197172701,3767.680519400754,3898.133966859009,665.6148296390654,3637.640630523604,44730.0,3636.1680059314067,-166.00598166252757,-2339.679103183499
40,6.0,27.0,9632.46,2158.4548698346525,204.26731349320488,4413.5988739845225,697.2741875605201,3605.9812726021496,51360.0,4321.594680868416,-881.6344034818153,-12425.70641019064
