column,case,Fx_lb,vertical_Fy_lb,Fz_lb,Mx_lb_in,My_lb_in,Mz_lb_in
W1,service40,21.04088611045698,9813.545257671045,53.47342410769598,2428.852754916385,-69.7007761623539,-1186.6287163117752
W1,service_patches,21.160855697294824,9857.127154807282,53.9527620078945,2452.8134777904124,-79.04034217845084,-1187.2834141254261
W1,typical30,11.566214681848694,5863.5646813928315,35.32930792482926,1598.8904293791336,-83.26109526819037,-616.6824256271894
W1,storage125_sensitivity,17.546156555925105,13351.563426338627,86.34386571487431,3963.4235739970686,-311.07250099798557,-893.1366160189134
W1,live_only,-1.644589930456867,1664.9496617679602,15.468443436908725,722.1510019229454,-113.58679054875013,138.11462363566312
W1,machine200,11.008033137279488,6314.013818826812,39.53066483381839,1795.1755802299826,-115.43804809687765,-572.354699201522
W1,uplift20_sensitivity,-2.206028969359494,-764.8317244758936,-0.040220019750164024,-15.058259267147122,-40.79965443170837,172.31417644811833
W1,strength_screen,17.863110579018716,10038.345025321129,61.12852302977415,2787.2236455568363,-173.38881913248892,-946.6239776393948
W1,HB0.25,8.344537157224329,6297.643653442542,40.97963327501761,1880.9497562464403,-140.58126503410008,-404.4908084508497
W1,HB0.5,8.347247028096783,6300.741817108928,40.4268061438415,1848.0797801075705,-144.8301062424496,-403.1982513449636
W1,HB0.75,9.474746920323497,6299.533620628525,39.770194490037724,1809.8099139700878,-133.74703504482753,-473.84350369959094
W1,HT0.25,15.269803514770583,7357.780789930369,46.946425558949706,2115.3730251200222,-107.24822865703078,-824.9967282769837
W1,HT0.5,13.49824702408882,6994.38741588823,44.32105779895664,2001.9831847983278,-124.42901355057347,-723.7777042407129
W1,HT0.75,12.148111037961328,6633.703503703285,41.74608093620285,1890.3893832277229,-130.49242716799506,-640.5657858429723
W1,storage125_strength_sensitivity,12.079539176802784,15629.442758969772,112.9542905326187,5204.199933861161,-544.6407266138797,-475.985864141916
W1,strength_roof,29.65231154181847,12900.343725923394,67.2645592847706,3053.923574135037,-53.48004803815102,-1694.0240886281742
W1,strength_HB0.25,13.366275532997333,10066.891591011688,63.98166581683887,2949.6581338187216,-219.66626281904044,-662.3640382303075
W1,strength_HB0.5,13.370620345095942,10071.848701685687,63.09714213503948,2897.0661491934256,-226.46433081985631,-660.296499590715
W1,strength_HB0.75,15.174644075452997,10069.915727160516,62.046562759784045,2835.8343010611943,-208.7312127579283,-773.3303699048115
W1,strength_HT0.25,24.44672330027123,11763.111132011054,73.52853282515723,3324.7353089464073,-166.33321913657855,-1335.1748342378498
W1,strength_HT0.5,21.612220168672152,11181.681660599055,69.3279447966705,3143.311597346922,-193.8225846643503,-1173.2236139967854
W1,strength_HT0.75,19.451971246701575,10604.587222302502,65.20798275372626,2964.7615950870454,-203.52431619421282,-1040.0826226521938
W1,lateral_HX,-60.538034186949055,3253.6108284471184,20.80639740013317,1048.415849961232,-438.3714129477456,3770.210881149721
W1,strength_lateral_HX_1,-60.26263466664042,5686.106764601956,39.851321278080775,1932.3174067776092,-556.2628186210895,3799.2361447549056
W1,strength_lateral_HX_-1,78.8133498354939,6418.5272854821,29.209961231630427,1213.3848020208202,370.8270657039395,-4825.514919510492
W1,strength_lateral_HX_2,-129.80072653502592,5319.895939030138,45.1720044637442,2291.783974450868,-1019.8086190359063,8111.617785281545
W1,strength_lateral_HX_-2,148.3512269236739,6784.736891288076,23.88928482671935,853.9188041841809,834.3710166444542,-9137.883389673232
W1,lateral_HZ,-10.162656191437184,3638.757192961573,11.664627041271949,437.0909697553958,-113.85530999522754,649.5407305560115
W1,strength_lateral_HZ_1,-9.887300334664626,6071.252881186151,30.709552317551104,1320.9926436227445,-231.74709164429026,678.5686715721429
W1,strength_lateral_HZ_-1,28.437782752806413,6033.3798457427065,38.351737544067625,1824.7101830908055,46.30933594957361,-1704.833173763824
W1,strength_lateral_HZ_2,-29.04980550226227,6090.189605880275,26.888458550588847,1069.1337770406692,-370.77499263301854,1870.2673635084166
W1,strength_lateral_HZ_-2,47.600323286988925,6014.4433232649,42.172830202560704,2076.5689561715767,185.33754091822493,-2896.5340346306375
W1,basic_Dfloor,-0.493376787681859,499.4848995351231,4.6405330250250545,216.64530007985604,-34.07603549391496,41.43437536255365
W1,basic_Droof,4.672161468990724,1805.724954297855,6.575720086767454,299.1261751501763,19.219503159047292,-285.56341703974226
W1,basic_Dsteel,4.327713635880399,1814.095662732775,8.909999895518109,389.823591798168,5.953312536728431,-256.5961467133182
W1,basic_Dwall,4.293150862291965,495.5468733907677,3.6017225897373115,151.68213196449466,10.832149488113654,-219.54271751088663
W1,basic_HB0.25,-2.810528455465292,17.84156570157462,1.7832144401194034,101.52157212117937,-28.923458625893897,177.66286395480617
W1,basic_HB0.5,-2.8078115890487636,20.939768455984165,1.2303870776170918,68.65157684488231,-33.17223936885521,178.9549922436816
W1,basic_HB0.75,-1.680311305875642,19.73157542657941,0.5737754363727935,30.38171104792274,-22.089165488612405,108.30971567982567
W1,basic_HT0.25,4.1147477127276115,1077.978758394599,7.750006431030952,335.9448159081754,4.409661704888259,-242.84365750768325
W1,basic_HT0.5,2.3431724947310033,714.5852781734222,5.124639265459946,222.555025466272,-12.77128452500113,-141.62348520571476
W1,basic_HT0.75,0.9930273909389616,353.9013132252404,2.5496626504376674,110.96124578980924,-18.834776146774654,-58.41100754853473
W1,basic_HX,-69.53799967534727,-366.21030197774047,5.320680269572902,359.4663227512298,-463.5450066859242,4312.375987181711
W1,basic_HZ,-19.162536861104154,18.93654416071937,-3.821092767225854,-251.85878249589908,-139.02817346227454,1191.7006355216158
W1,basic_L125,-5.1393250140499065,5202.967797960956,48.33888514650512,2256.721831368071,-354.9585612176731,431.6070632566259
W1,basic_L30,-1.233439126489898,1248.7122650585575,11.601332476180847,541.6132428503578,-85.19006430163833,103.58576407789923
W1,basic_L40,-1.644589930456867,1664.9496617679602,15.468443436908725,722.1510019229454,-113.58679054875013,138.11462363566312
W1,basic_L75patch,-1.5246041843883447,1708.5316504414725,15.947780803376485,746.111680493174,-122.92621666655157,137.4589350142228
W1,basic_P200,-0.1470183434868402,34.21181149684377,0.3342455529000744,15.747358596135284,-3.7801202086659016,9.79810661945473
W1,basic_R20,9.885819680035585,3533.7431652257915,14.277005341717308,649.4245755701021,41.95702270214478,-604.4749937313896
