tilt,annual_per_kw,winter_DJF_per_kw,summer_JJA_per_kw,july_per_kw,august_per_kw,kw_for_1200_august,kw_for_average_1kw
30,1614.8200000000002,351.28999999999996,425.84999999999997,137.95,149.8,8.01068090787717,5.424753223269466
35,1614.6,362.75,413.72,133.63,146.83,8.172716747258734,5.425492382014122
40,1605.4099999999999,371.89,399.72,128.77,143.09,8.386330281640925,5.456550040176653
