month,usage_kwh,reported_bill_usd,status,notes,m,temperature_F,model_kwh,residual_kwh
2026-02,768,303,as_reported,,2,60.44642857142857,768.0,0.0
2026-03,874,350,confirmed,Usage corrected by owner,3,64.70645161290322,904.380836617394,-30.38083661739404
2026-04,712,280,confirmed,Usage corrected by owner,4,62.95666666666667,822.8571428571428,-110.85714285714278
2026-06,997,390,as_reported,,6,66.17333333333333,942.5668048029725,54.433195197027544
2026-07,1179,460,as_reported,,7,71.41935483870968,1222.9141539184236,-43.91415391842361
2026-08,1409,544,as_reported,,8,74.89032258064516,1387.6147062566781,21.38529374332188
