mode,tilt,width_ft,solar_area_sqft,plan_run_ft,rise_ft,slope_top_ft,clerestory_inches,cap_depth_within_walls_ft,cap_area_sqft,cap_area_to_roof_edge_sqft,envelope_6ft_area_sqft,envelope_8ft_area_sqft,capacity_22pct_90pct_kw
fixed_325_sqft,30,23.458333333333332,324.99999999999994,11.998220514242668,6.927175843694493,15.927175843694492,20.873889875666055,14.001779485757332,328.4584104367241,336.2778548811685,339.0431653718672,328.4584104367241,5.978310624
fixed_plan_run,30,23.458333333333332,324.99999999999994,11.998220514242668,6.927175843694493,15.927175843694492,20.873889875666055,14.001779485757332,328.4584104367241,336.2778548811685,339.0431653718672,328.4584104367241,5.978310624
fixed_325_sqft,35,23.458333333333332,324.99999999999994,11.348820507023332,7.946529668806677,16.946529668806676,8.641643974319852,14.651179492976668,343.6922522727443,351.5116967171887,386.570186723386,343.6922522727443,5.978310624
fixed_plan_run,35,23.458333333333332,343.5970870026246,11.998220514242668,8.401244449175095,17.401244449175095,3.1850666098988256,14.001779485757332,328.4584104367241,336.2778548811685,386.570186723386,328.4584104367241,6.320400355702287
fixed_325_sqft,40,23.458333333333332,325.0,10.613049123140371,8.90540560489344,17.90540560489344,-2.8648672587213113,15.386950876859629,360.9522226529988,368.7716670974432,423.5396464915166,367.6265404389716,5.978310624000001
fixed_plan_run,40,23.458333333333332,367.4176593253192,11.998220514242668,10.067702408284697,19.067702408284696,-16.812428899416396,14.001779485757332,328.4584104367241,336.2778548811685,423.5396464915166,367.6265404389716,6.758575065199287
