tilt_deg,july_kwh_per_kw,august_kwh_per_kw,annual_kwh_per_kw,target_kw,active_module_sqft,roof_sqft_at_90pct_coverage,existing_envelope_sqft,capacity_kw_at_22pct_90pct
0,150.06,150.94,1423.3400000000001,7.9501788790247785,388.9775004342153,432.19722270468367,347.50089877260433,6.392207447736911
5,149.76,152.75,1478.2899999999997,7.855973813420622,384.36833987260525,427.0759331917836,348.8282957520829,6.416624641730641
10,148.71,153.72,1523.77,7.8064012490242,381.9429086360945,424.38100959566054,352.8616602679169,6.490817551126315
11,148.41,153.81,1531.74,7.801833430856251,381.7194195145988,424.13268834955426,354.0049670915939,6.51184844462665
12,148.09,153.88,1539.36,7.798284377436964,381.54577538042923,423.93975042269915,355.2642755673166,6.535013164620022
13,147.74,153.91,1546.6100000000001,7.796764342797739,381.47140481801347,423.8571164644594,356.6415998722194,6.5603487614799025
14,147.36,153.91,1553.48,7.796764342797739,381.47140481801347,423.8571164644594,358.1391624863853,6.587896117269586
15,146.96,153.88,1560.0000000000002,7.798284377436964,381.54577538042923,423.93975042269915,359.7594031703727,6.6177001108819535
16,146.52,153.82,1566.1500000000003,7.801326225458328,381.69460353361364,424.10511503734847,361.50498895453995,6.649809801791037
17,146.06,153.73,1571.9199999999996,7.805893449554414,381.9180635890227,424.353403987803,363.37882521838725,6.684278633854238
20,144.53,153.27,1587.14,7.829320806420043,383.064291221638,425.6269902462644,369.8027323892075,6.8024450829366
25,141.45,151.91,1605.3900000000003,7.899414126785597,386.4937391583204,429.43748795368936,383.4248185253117,7.053020551260492
30,137.95,149.8,1614.8200000000002,8.01068090787717,391.9376763387213,435.48630704302366,401.2594749,7.38108538133367
35,133.63,146.83,1614.6,8.172716747258734,399.8655854766768,444.2950949740853,424.22026679336244,7.803444418288943
40,128.77,143.09,1605.4099999999999,8.386330281640925,410.3170306488255,455.9078118320283,453.63020630727596,8.344434197199842
45,123.02,138.49,1586.6299999999997,8.664885551303342,423.9458727383959,471.0509697093288,491.440483981057,9.039946466091845
