column,case,Fx_lb,vertical_Fy_lb,Fz_lb,Mx_lb_in,My_lb_in,Mz_lb_in
W1,service40,22.030478266408476,9852.397567070875,59.37523333840203,2661.1162861800917,-79.94118601452807,-1244.6136624879075
W1,service_patches,23.07484214929309,9894.70432009434,60.03761867943099,2696.0182612474186,-81.9548378567724,-1300.7262321448072
W1,typical30,13.653392697106575,5866.99523821013,39.7419122317002,1777.6173511725124,-86.96098818450116,-728.1276667880437
W1,storage125_sensitivity,23.03849366726012,13414.943239929593,96.49474796690997,4375.891187237819,-315.11114302500164,-1184.8119763988304
W1,live_only,0.47432323825889716,1676.4919064561254,17.468006634435604,806.9528987483718,-110.66853306642126,28.144261557819956
W1,machine200,13.651683190907386,6320.379875860923,44.48057223762743,1996.6639715723272,-118.41699698749754,-712.3967535754992
W1,uplift20_sensitivity,-0.27970621146842295,-800.5024748603554,0.7182228742031647,21.680632577871915,-37.06087550756831,73.96763430609545
W1,strength_screen,22.5162419486464,10064.768603892131,68.61087731281616,3094.7315384014464,-167.70032434455973,-1205.587778671251
W1,HB0.25,10.953999761230174,6302.102097726405,45.897180094799914,2081.4909434744345,-144.04233048350758,-540.3613622105522
W1,HB0.5,11.112414706276999,6302.907697881321,45.372900186976615,2050.683129681566,-145.78697536254467,-548.1765919152979
W1,HB0.75,12.352751984347915,6301.511465445529,44.73362662089635,2013.4554423544434,-133.07668902573107,-626.6670741897638
W1,HT0.25,18.166034670749745,7380.1662497208235,53.036267133847886,2360.2011089825096,-118.1739849224787,-975.081417763571
W1,HT0.5,16.2926598073786,7011.292868392339,49.978749406189166,2230.0167780771344,-133.1946203969248,-868.6459576837034
W1,HT0.75,14.84607399287677,6645.440005512292,47.008314811852564,2103.034895667978,-137.40237471716932,-780.542949278806
W1,storage125_strength_sensitivity,22.458006490772455,15697.150595470543,126.94228066877818,5782.528021270709,-540.751063461397,-1020.1201252639054
W1,strength_roof,30.689332942981665,12956.396545061365,74.52558996568449,3339.5551780547744,-61.93581052371077,-1764.677823111953
W1,strength_HB0.25,18.007486171739423,10090.342922940315,71.47210007813685,3258.1479048187557,-214.76301989689193,-916.4195190055246
W1,strength_HB0.5,18.261062529803674,10091.632502328073,70.63325008203222,3208.855187879495,-217.55346566698108,-928.9308471230931
W1,strength_HB0.75,20.245507765806675,10089.39792909603,69.61041687811118,3149.291256954207,-197.21785221070314,-1054.5097869067467
W1,strength_HT0.25,29.546815191746077,11815.245889064368,82.89464062849605,3704.0842167167643,-173.3730427346324,-1611.97614923649
W1,strength_HT0.5,26.549274380745334,11225.047638178388,78.00261702265341,3495.789701338496,-197.40730793315876,-1441.6706921414186
W1,strength_HT0.75,24.234886322635187,10639.683939201357,73.24991687881818,3292.618268344201,-204.1383948059876,-1300.7151086527413
W1,lateral_HX,-69.50723683297478,3234.1004263807904,21.121728420211564,1026.158811869556,-530.6316039113497,4356.327351063213
W1,strength_lateral_HX_1,-66.30727712524279,5674.070036499279,42.71047540074008,2019.5511137456097,-640.1605361139395,4226.280152079828
W1,strength_lateral_HX_-1,89.5209770930606,6417.58447265685,35.050549897042885,1482.6058496313058,452.64442972137664,-5507.228755152156
W1,strength_lateral_HX_2,-144.22124230910993,5302.313649252118,46.54043717999236,2288.023583341684,-1186.5616141600024,9093.024572100097
W1,strength_lateral_HX_-2,167.43500875183173,6789.34116492665,31.22058889978889,1214.1333957731429,999.046077383642,-10373.97729951364
W1,lateral_HZ,-10.131230476906259,3625.04517240864,13.598298025443118,511.15759470829653,-122.12091338967042,654.188255502561
W1,strength_lateral_HZ_1,-6.931298399296791,6065.014592564823,35.1870467871895,1504.550036856137,-231.65009574849705,524.1427611780201
W1,strength_lateral_HZ_-1,30.145066835882073,6026.6402196129,42.573979695504796,1997.6069691455352,44.134573492644,-1805.0956140748563
W1,strength_lateral_HZ_2,-25.46940902808117,6084.202203922348,31.493578037306328,1258.0213686828122,-369.541793810705,1688.7574966062823
W1,strength_lateral_HZ_-2,48.68323594420832,6007.452922016275,46.26744762605626,2244.135546070832,182.02678209432293,-2969.7139709580024
W1,basic_Dfloor,0.14229785940361667,502.94757727315914,5.240401959150944,242.08586693211276,-33.20055205524735,8.443223565036677
W1,basic_Droof,3.9345269904769293,1819.864227572149,7.041811243553328,314.72831595214893,16.269803739114188,-250.17293773306136
W1,basic_Dsteel,4.4723402486597506,1785.9933317559162,10.249953459615586,442.95781006077823,-0.49911759203036765,-260.2527323026954
W1,basic_Dwall,4.748532022344694,500.82144046968534,4.108739376872843,172.63057193682786,13.470689748831589,-247.2563154700504
W1,basic_HB0.25,-2.8180026199382726,15.983789126304696,1.7882645794312764,102.1352711607474,-29.414448341167,180.73203651981035
W1,basic_HB0.5,-2.659646680594589,16.78903983105962,1.263986572015439,71.32762437122967,-31.15961477153971,172.92045607408917
W1,basic_HB0.75,-1.4193764811395944,15.392434664949247,0.6247143804877152,34.10007197528993,-18.44991690034855,94.4341257427119
W1,basic_HT0.25,4.394022848901796,1094.047865546267,8.927352587200371,380.8455096701918,-3.5461905695849514,-253.9874382405204
W1,basic_HT0.5,2.520591620161431,725.1740792409189,5.869839039007548,250.66150311711863,-18.56733915635966,-147.5485029382588
W1,basic_HT0.75,1.0741544027668037,359.3220898023038,2.899399836793859,123.67921274440926,-22.773780480118894,-59.45468525257344
W1,basic_HX,-77.9140791315985,-371.7569555087025,3.829961923498161,268.4725462403502,-546.4020633531255,4866.751483142595
W1,basic_HZ,-18.53814716365083,19.187390087052517,-3.6934673980140267,-246.5285526231085,-137.89202225690238,1164.6169941169915
W1,basic_L125,1.4823439850260325,5239.037664001907,54.58751932577467,2521.727661655609,-345.83843174801495,87.94562504365499
W1,basic_L30,0.3557700794240781,1257.3690853718997,13.101004341896257,605.2146137683872,-83.00115670221705,21.10648501420073
W1,basic_L40,0.47432323825889716,1676.4919064561254,17.468006634435604,806.9528987483718,-110.66853306642126,28.144261557819956
W1,basic_L75patch,1.518723635517755,1718.7988003166377,18.130393283279503,841.8549437396624,-112.68187748206851,-27.970577550008134
W1,basic_P200,-0.12031968662647377,34.26153452322897,0.37165771068827486,17.308368545006225,-3.7891250853621217,8.69667151637143
W1,basic_R20,8.258322418589767,3566.278399310835,15.266321132357303,681.760934266245,34.6853496014456,-523.5107651626229
W1,basic_U20,-8.258322418589767,-3566.278399310835,-15.266321132357303,-681.760934266245,-34.6853496014456,523.5107651626229
W3,service40,414.5535490084185,8585.18438916488,865.8411605145005,3344.341596280952,168.1176842318208,-13600.559132096128
W3,service_patches,450.3239305947758,8914.306550904865,921.8900603846514,3649.7010199925658,214.8594431195377,-14773.754929412604
W3,typical30,339.66398729136927,5716.5015110695,581.0017967224825,2260.7371334228665,150.00763715046554,-11160.024551858725
W3,storage125_sensitivity,1052.5977559508192,14995.150136854116,1476.0006824540587,6494.308412239147,427.0398909614734,-34656.28193189002
W3,live_only,300.2560754481035,3016.4543868330443,287.1338504599146,1482.3371843999128,121.84585444843945,-9908.574117949232
W3,machine200,423.6098532021342,6538.089317495075,658.4095469674999,2661.345712612488,183.24011692922826,-13927.39608056954
W3,uplift20_sensitivity,68.85774969492408,-42.072816495894045,6.335057030326771,-23.629789914343622,47.52481374582212,-2273.7733746603303
W3,strength_screen,674.9213588217468,10555.200076855741,1094.402024177963,4595.606062645776,333.9125904205512,-22186.836506215164
W3,HB0.25,512.1878813617645,7487.780343741767,729.1229009595027,3128.0817741973724,171.31689390527123,-17003.838846685623
W3,HB0.5,516.0815197080223,7156.88793337728,707.6149237101897,2983.908386430318,196.3857011457914,-17020.558969665133
W3,HB0.75,469.47566524749317,6801.337917006542,682.3136471253791,2813.983457046266,214.4855626143237,-15351.938877710272
W3,HT0.25,413.21147378151375,6790.587903524641,681.4491729610364,2617.7661704182938,180.81013003594495,-13542.881319149707
W3,HT0.5,412.8913356158943,6684.613031731995,672.4355241542364,2625.8792989031494,190.65093489107664,-13522.506786068008
W3,HT0.75,413.0536666643087,6577.334968437591,662.9329054970606,2631.3199227720715,196.59792503997704,-13528.779970599115
W3,storage125_strength_sensitivity,1638.559442487357,20284.549263257075,1980.9788213256872,9146.976756832106,673.4015976396631,-53998.87748551919
W3,strength_roof,473.1135609462676,10873.87983415349,1122.853687760653,4307.309179341505,219.17368236554822,-15497.503454799114
W3,strength_HB0.25,830.857170320077,12182.664056940146,1216.542136717109,5390.421728366151,319.26911646041975,-27573.510393094013
W3,strength_HB0.5,837.0870674817282,11653.236085041055,1182.1293954622358,5159.743921802112,359.3789305505495,-27600.267134249192
W3,strength_HB0.75,762.5176283521913,11084.356497642808,1141.6474331869892,4887.865118738272,388.3388877584458,-24930.47067734853
W3,strength_HT0.25,672.4949591106684,11067.156417320559,1140.2642849379718,4573.917265630291,334.45806075544857,-22035.98080862313
W3,strength_HT0.5,671.9826367386936,10897.597028663615,1125.8424944066592,4586.899337217939,350.20365386188337,-22003.37548595144
W3,strength_HT0.75,672.2424729201297,10725.95172839254,1110.6382631700742,4595.6032763355015,359.71850954990566,-22013.41896250545
W3,lateral_HX,-74.59600139243807,1862.4283642169999,-30.588742586599782,-407.78129411814984,21.798459433173985,5513.112939233558
W3,strength_lateral_HX_1,265.947640069269,5643.469189587767,357.45033408421347,1477.0643195339353,188.7638775103404,-5706.721922264606
W3,strength_lateral_HX_-1,460.3121922154523,6273.254322531048,867.1913434200632,3264.1137225553534,128.94238680613987,-18113.63954529876
W3,strength_lateral_HX_2,168.76546632138084,5328.576724864379,102.57993930967986,583.5396557729002,218.67418305266364,496.7307483967756
W3,strength_lateral_HX_-2,557.4944043575723,6588.14697870706,1122.0618266847762,4157.638734698777,99.0318767641868,-24317.094522706593
W3,lateral_HZ,22.36278819655775,1685.0564897426998,72.73941084096352,-585.3626668577647,119.43230270463977,-670.627333194725
W3,strength_lateral_HZ_1,362.906407144233,5466.097502526537,460.7785281434982,1299.4833951948187,286.3977638551876,-11890.460847873966
W3,strength_lateral_HZ_-1,363.3534634775511,6450.626254946972,763.8632544820557,3441.695112606634,31.308282482659997,-11929.90292422461
W3,strength_lateral_HZ_2,362.6829302831008,4973.832935983028,309.2361456463525,228.377030329441,413.94234586464745,-11870.742883778694
