case,column,P_lb,Vx_lb,Vy_lb,Mx_lbin,My_lbin
service occupied,W1,2247.330747044408,-30.52618650822135,-285.37845087117523,6643.39926725037,-5202.974785063814
service occupied,W2,8521.165299998538,699.5370519909467,142.43927897506657,-7386.523421000994,18836.413590934433
service occupied,W3,1546.6133200338131,189.28709898410307,138.87209261180342,-7261.898991326442,3627.5561906472294
service occupied,W4,3825.633553339978,-16.079186867075013,30.472009977635775,-3703.646600248372,-1951.5705735693998
service occupied,S1,85.0547500000001,0.0,0.0,0.0,0.0
service occupied,S2,4547.9961156084255,-255.43718965894317,6.179125736848344,-331.9299863479413,-12753.682877400946
service occupied,N1,5360.419748485492,-110.58086715213327,-0.02216727974344422,-1206.0857214864936,-5053.782564131636
service occupied,N2,11155.894278562884,-263.828186041983,-84.02362232838207,2843.3369180859154,-10089.77100866681
service occupied,S3,7444.191087437228,-212.37253387810946,51.4617332947363,-1817.1333788510306,-11347.001743505232
service storage bands,W1,2423.916341437891,-33.045202115730746,-299.74776706175265,6644.040965217108,-5869.361781588874
service storage bands,W2,9975.095805049275,844.6805104912493,180.705486176641,-9113.1058782092,23134.896674770254
service storage bands,W3,1840.4122499770308,260.78116956864807,158.64575982400873,-8380.467685994978,6011.215734936432
service storage bands,W4,5202.717599157255,1.7512200122752823,39.47021769435332,-4468.411501580258,-981.0526242087915
service storage bands,S1,85.0547500000001,0.0,0.0,0.0,0.0
service storage bands,S2,4996.017057890061,-288.7604875058479,-0.35439251770413327,7.867499333435327,-14441.251240235713
service storage bands,N1,7640.29017457054,-126.62197426417704,-3.603810650950384,-1136.315656293613,-5195.31369628148
service storage bands,N2,14998.522793338461,-414.44811197901623,-128.14350387351715,4471.638300073927,-14651.09383592142
service storage bands,S3,8585.084629218616,-244.33712333513097,53.02801055596497,-1741.4769283191222,-12972.60729059556
service full125,W1,2858.193110557667,-41.26672936895882,-351.57238890343643,7611.230547357086,-7408.49402828888
service full125,W2,12639.075596396096,1098.1500998628521,237.85749366504274,-11720.374868434677,30206.77763299777
service full125,W3,2104.109001231143,335.08545280986823,189.18254854679216,-10112.14922143656,7729.991800607488
service full125,W4,6428.981388704102,-3.750066179326077,46.32248902741006,-5422.474427349694,-1471.0290246105815
service full125,S1,85.0547500000001,0.0,0.0,0.0,0.0
service full125,S2,5892.435896873562,-362.615941541982,-2.6191885061492206,140.59535896718805,-18166.291823912008
service full125,N1,9466.799156613917,-165.73164477799506,-10.705602786799032,-1005.2362863578934,-6789.263406219659
service full125,N2,18738.675557069335,-542.1853749218711,-175.3614632471871,6178.051120080156,-19158.418304917664
service full125,S3,10744.64631840402,-317.6857947523247,66.89611240227339,-2135.202206183307,-16703.90153176617
service patch1000,W1,2248.228057899603,-30.761270857841943,-284.33897218025794,6579.23268187973,-5279.26481962949
service patch1000,W2,8685.417796614098,716.6712111783709,147.33790431129273,-7577.365264909982,19319.868056076695
service patch1000,W3,1554.9493304773293,195.36331270270796,140.11199474621327,-7332.62536225827,3787.831861518223
service patch1000,W4,3964.621777039332,-15.785211798754963,29.533683430352013,-3702.8743548512866,-1956.2239921732614
service patch1000,S1,85.0547500000001,0.0,0.0,0.0,0.0
service patch1000,S2,4608.272919766237,-258.98114828559994,5.784824028566479,-316.0660249102111,-12937.648850267344
service patch1000,N1,5550.023580715229,-113.72687664657225,-1.2036289412513315,-1145.5191269394165,-5171.4612150922885
service patch1000,N2,11512.611610381518,-276.1247737341432,-88.97301527209407,3015.990121549445,-10508.29182390338
service patch1000,S3,7525.119077640779,-216.65524167284087,51.74720999888872,-1823.353306934805,-11558.351454492147
strength floor,W1,2569.1072578108374,-34.77645823988472,-302.83712357498575,6268.880797709905,-6578.76339556028
strength floor,W2,11625.798346378522,1014.6743739594754,226.1013358741324,-11079.059846501077,28176.506657562815
strength floor,W3,2361.6888897303565,341.94262960070887,191.1900916480939,-9923.591439906044,8680.625805894913
strength floor,W4,7009.24056953857,20.845286344658742,32.23464394986263,-4705.944853465433,32.45288965523205
strength floor,S1,102.0657000000001,0.0,0.0,0.0,0.0
strength floor,S2,5308.42542671369,-325.88346588527367,-9.067992755517357,440.16174277403724,-16322.832458283927
strength floor,N1,10430.002249727775,-146.46062512407462,-10.501602669195528,-893.7435667250539,-5460.200599274257
strength floor,N2,18997.94400183186,-589.7054815777467,-181.19921234983454,6420.901219625661,-20020.826825257653
strength floor,S3,9577.098115783814,-280.63625818468034,54.07986006280289,-1627.4082904125376,-14819.039882233068
strength roof,W1,3115.7894815892873,-42.67249787109108,-393.4461745505268,8958.23164154106,-7359.201229886066
strength roof,W2,12266.42918971233,1022.6967339186733,213.97539594236582,-10962.688510141179,27804.553717811763
strength roof,W3,2146.0692996574367,300.55060562977866,191.70667153619704,-10221.000974817562,6502.171355508598
strength roof,W4,5893.020998313377,-7.9008769256813025,55.92133018498269,-5763.590817483315,-1835.2535805820537
strength roof,S1,102.0657000000001,0.0,0.0,0.0,0.0
strength roof,S2,6418.584088225855,-360.74239278318134,4.202507372148224,-220.32851272684573,-18028.688205459548
strength roof,N1,8572.46569671387,-156.41881734825412,-1.0834480255973589,-1625.5566587437484,-6710.670497885782
strength roof,N2,17638.749437461094,-452.7395521609506,-140.61697230043276,4855.558679610436,-16446.073258653516
strength roof,S3,10793.515502389753,-302.7732013190987,69.34069001432867,-2355.84758825258,-16116.44996797381
uplift sensitivity,W1,353.69563364951483,-0.44995529901426995,-28.05491731946332,542.3836213317733,-508.1301754069913
uplift sensitivity,W2,1123.4626088502944,90.00685638293481,19.756625594102317,-1024.6607501293295,2513.9723253778093
uplift sensitivity,W3,326.75132582783596,22.392136987678263,20.062226605588513,-1033.7401612490166,559.4010602979417
uplift sensitivity,W4,682.8945558347393,3.217367162073996,0.6027432657016467,-395.0388601862284,87.89419753454678
uplift sensitivity,S1,76.54927500000007,0.0,0.0,0.0,0.0
uplift sensitivity,S2,484.0604303441527,-34.19020581183877,-2.1688474361964185,39.39431601951497,-1650.4033822423603
uplift sensitivity,N1,1608.896305712773,-6.097152505155047,0.04850576579514919,-199.12521358949132,-217.85093520497966
uplift sensitivity,N2,1492.8695312871919,-54.97031812804694,-14.81851669398194,465.1758603431443,-1823.0926718684789
uplift sensitivity,S3,398.43408035916093,-19.908728721134,4.572180233129172,-182.5665458550816,-1176.8098828611194
lateral X sensitivity,W1,1675.3773050910104,-250.3393482504793,-193.32940063170648,3937.1024383312574,-21537.60018929096
lateral X sensitivity,W2,4625.40286967242,-151.74955443129667,133.3186353961755,-6781.193391553813,-20986.853273711356
lateral X sensitivity,W3,1038.110036680924,-155.0201079651113,126.53477084745995,-6574.674990640242,-18334.477177375084
lateral X sensitivity,W4,2220.655865594966,-483.0114076330582,25.9850719828799,-3284.225465316912,-27266.871790167905
lateral X sensitivity,S1,85.0547500000001,0.0,0.0,0.0,0.0
lateral X sensitivity,S2,3243.548369190887,-643.7281943706628,-18.25564259616603,857.5583588688244,-35330.275907853
lateral X sensitivity,N1,5116.732356925368,-617.7187237352189,2.502909444536167,-1050.7939901095097,-31689.31683291894
lateral X sensitivity,N2,9441.946791236023,-784.2511647320707,-95.82476396793821,3575.431558799534,-37159.254687376844
lateral X sensitivity,S3,5435.987522761151,-617.7385589553836,19.06841962939381,-365.9505277372964,-34981.30793925842
lateral Y sensitivity,W1,1013.8471527879105,-50.15367729404106,-487.53682996237916,24807.55328971917,-5753.405524090704
lateral Y sensitivity,W2,5145.233442488282,402.2081940415017,-420.2746830789356,22592.051218327677,10049.752578104803
lateral Y sensitivity,W3,1200.0354732506928,187.23072018350138,-331.85603512938695,19651.708634505692,4979.263299386218
lateral Y sensitivity,W4,4243.297878049605,66.25140337985745,-457.73199300430986,23773.69636557357,2508.890721563857
lateral Y sensitivity,S1,85.0547500000001,0.0,0.0,0.0,0.0
lateral Y sensitivity,S2,136.91716959618626,-223.72064339144163,-827.1772457034273,41427.674202703965,-11709.265173606307
lateral Y sensitivity,N1,5218.288645420189,-22.29177580154839,-287.57756537536557,20207.34020433163,-402.80674014565807
lateral Y sensitivity,N2,9778.613136194359,-175.84271086976918,-849.2550898925911,42306.1853049397,-5460.375757730242
lateral Y sensitivity,S3,6061.5282193719995,-183.68150974127124,-800.1356966984148,40546.60523455518,-10118.210858869468
