column,case,Fx_lb,vertical_Fy_lb,Fz_lb,Mx_lb_in,My_lb_in,Mz_lb_in
W1,service40,24.358497043295124,9852.80725430111,59.47049319184766,2668.4713663960924,-60.75156325864021,-1387.4690466719157
W1,service_patches,25.4801024284586,9894.950164517595,60.16034332840753,2705.138067867246,-62.22557323369805,-1448.3227327408206
W1,typical30,15.447095762212978,5866.523334898794,39.860606425692346,1786.2079837237202,-72.38872079859365,-838.1715544437996
W1,storage125_sensitivity,28.20878713891662,13413.254224753775,96.7740089918371,4397.069221038334,-273.4549806531053,-1501.9796283270534
W1,live_only,1.811901199374229,1675.5044566915233,17.55459567193114,813.4578140291724,-100.09572609865218,-53.88733120001252
W1,machine200,15.82358327808152,6319.623458058686,44.62349244390975,2007.0790618307205,-100.85621239619752,-845.6338772487636
W1,uplift20_sensitivity,-0.005524071390630244,-801.4708097874402,0.7955579580585397,26.76984495938956,-35.05124499139736,57.17202626331641
W1,strength_screen,25.828627242245126,10063.813680512543,68.83532382721563,3110.986237358096,-140.96134573006128,-1408.805717318349
W1,HB0.25,13.452820933540641,6301.140636407234,46.0575221074045,2093.2586728151896,-123.88231642271184,-693.6469706158564
W1,HB0.5,13.681227564384642,6301.773648874853,45.54515169158022,2063.262820172263,-125.11924914866383,-705.7447578014236
W1,HB0.75,14.770599828348686,6300.376863383937,44.903247114242895,2025.7593764061778,-113.64317390274252,-774.9710554843522
W1,HT0.25,20.377388742620077,7379.66907416717,53.15202702640964,2368.9488145925116,-100.16717532715289,-1110.7568121571403
W1,HT0.5,18.487086140459237,7010.693445131381,50.10476682645246,2239.3932920302323,-115.3740123499199,-1003.2753997520416
W1,HT0.75,17.019318518327072,6644.753059190112,47.143757892407386,2112.983237250648,-119.79791364699177,-913.8663577033639
W1,storage125_strength_sensitivity,30.19452291989262,15693.100176927277,127.41718888203548,5818.076082164627,-478.9283966864624,-1494.6567589269391
W1,strength_roof,33.37279194148503,12957.373846091295,74.63201797154251,3347.7003499682583,-39.69230551151802,-1929.3693366464797
W1,strength_HB0.25,21.91302704108713,10088.99958021761,71.72855064811188,3276.884214220264,-183.31280814607274,-1156.0114509713542
W1,strength_HB0.5,22.278477723044375,10090.012400134465,70.90875798153766,3228.8908499904796,-185.291900005639,-1175.3679149226386
W1,strength_HB0.75,24.021473316482144,10087.77754336863,69.88171065757098,3168.8853399139225,-166.93017978825287,-1286.1299894406268
W1,strength_HT0.25,32.99233563423849,11814.64508060724,83.07975851846976,3717.988441111621,-145.36858150694883,-1823.3872034788424
W1,strength_HT0.5,29.967851469528934,11224.284074280276,78.20414219425582,3510.699604750807,-169.69952085108778,-1651.4169435706212
W1,strength_HT0.75,27.619423269535478,10638.779456733702,73.46652789838922,3308.443517023756,-176.77776294639145,-1508.3624760086254
W1,lateral_HX,-62.07807663188214,3241.4779582748033,20.98127969719673,1021.5924404445333,-467.1839563465143,3899.9523690414585
W1,strength_lateral_HX_1,-57.39272857313394,5680.381580427703,42.68655016500077,2023.4221072910932,-564.964161206692,3678.797975589611
W1,strength_lateral_HX_-1,84.28184033697264,6409.98821583944,35.332237325029965,1497.2887382206898,407.29907145845925,-5185.240579700029
W1,strength_lateral_HX_2,-128.23001301331428,5315.578262710962,46.363706584754055,2286.4887918265886,-1051.0957774231752,8110.817252322187
