member,end,joint,status,connected_to,gap_in,source_member
T1 future floor beam,end,E.clerestory @ 0.00879120879121,connected,E.clerestory,0.0,T1 future floor beam | W6X8.5
B2 future floor beam,start,W.W3 @ 0.507103825137,connected,W.W3,0.0,B2 future floor beam | W8X24
B2 future floor beam,end,E.W3 @ 0.00879120879121,connected,E.W3,0.0,B2 future floor beam | W8X24
T-SO,start,W.SW0 @ 0.991452991453,connected,W.SW0,0.0,T-SO | W6X8.5
T-SO,end,E.SW0 @ 0.5,connected,E.SW0,0.0,T-SO | W6X8.5
T-N,start,W.north.bottom,connected,BR-N-ground-2; BR-W-1; W.W4; W.bottom,0.0,T-N | HSS3X3X1/8
T-N,end,E.north.bottom,connected,E.W4; E.bottom; N2; T-N diagonal 8,0.0,T-N | HSS3X3X1/8
T-N top / segment 1,start,W.W4 @ 0.980327868852,connected,W.W4,0.0,T-N top / segment 1 | HSS1-1/2X1-1/2X1/8
T-N top / segment 1,end,E.W4 @ 0.96043956044,connected,E.W4; T-N diagonal 9,0.0,T-N top / segment 1 | HSS1-1/2X1-1/2X1/8
S1,start,S1.base,ground support,,0.0,S1 | HSS4X4X3/16
S1,end,S1.head,connected,T-SO,0.0,S1 | HSS4X4X3/16
S2,start,S2.base,ground support,,0.0,S2 | HSS4X4X3/16
S2,end,S2.east-truss-bearing,connected,BR-S-1; E.SW0; E.bottom,0.0,S2 | HSS4X4X3/16
S3,start,S3.base,ground support,,0.0,S3 | HSS4X4X3/16
S3,end,S3.east-truss-bearing,connected,E.W1; E.bottom; T-S; T-S diagonal 13,0.0,S3 | HSS4X4X3/16
N2,start,N2.base,ground support,,0.0,N2 | HSS4X4X1/4
N2,end,N2.east-truss-bearing,connected,E.W4; E.bottom; T-N; T-N diagonal 8,0.0,N2 | HSS4X4X1/4
N1 / U-W,start,N1 / U-W.base,ground support,,0.0,N1 / U-W | HSS6X6X1/4
N1 / U-W,end,N1.lower-chord-bearing,connected,BR-N-ground-1; T-N,0.0,N1 / U-W | HSS6X6X1/4
T-S vertical 2,start,T-S @ 0.166666666667,connected,T-S,0.0,T-S vertical 2 | HSS1-1/2X1-1/2X1/8
T-S vertical 2,end,T-S top / segment 1 @ 0.166666666667,connected,T-S diagonal 8; T-S diagonal 9; T-S top / segment 1,0.0,T-S vertical 2 | HSS1-1/2X1-1/2X1/8
T-S vertical 3,start,T-S @ 0.333333333333,connected,T-S; T-S diagonal 10; T-S diagonal 9,0.0,T-S vertical 3 | HSS1-1/2X1-1/2X1/8
T-S vertical 3,end,T-S top / segment 1 @ 0.333333333333,connected,T-S top / segment 1,0.0,T-S vertical 3 | HSS1-1/2X1-1/2X1/8
T-S vertical 4,start,T-S @ 0.5,connected,T-S,0.0,T-S vertical 4 | HSS1-1/2X1-1/2X1/8
