member,end,joint,status,connected_to,gap_in,source_member
Wood joist 9-1,start,B2 future floor beam @ 0.627886323268,connected,B2 future floor beam; Wood joist 9-0,0.0,Wood joist 9-1
Wood joist 9-1,end,T-N @ 0.627886323268,connected,T-N,0.0,Wood joist 9-1
Wood joist 10-0,start,T1 future floor beam @ 0.684724689165,connected,T1 future floor beam,0.0,Wood joist 10-0
Wood joist 10-0,end,B2 future floor beam @ 0.684724689165,connected,B2 future floor beam; Wood joist 10-1,0.0,Wood joist 10-0
Wood joist 10-1,start,B2 future floor beam @ 0.684724689165,connected,B2 future floor beam; Wood joist 10-0,0.0,Wood joist 10-1
Wood joist 10-1,end,T-N @ 0.684724689165,connected,T-N,0.0,Wood joist 10-1
Wood joist 11-0,start,T1 future floor beam @ 0.741563055062,connected,T1 future floor beam,0.0,Wood joist 11-0
Wood joist 11-0,end,B2 future floor beam @ 0.741563055062,connected,B2 future floor beam; Wood joist 11-1,0.0,Wood joist 11-0
Wood joist 11-1,start,B2 future floor beam @ 0.741563055062,connected,B2 future floor beam; Wood joist 11-0,0.0,Wood joist 11-1
Wood joist 11-1,end,T-N @ 0.741563055062,connected,T-N,0.0,Wood joist 11-1
Wood joist 12-0,start,T1 future floor beam @ 0.798401420959,connected,T1 future floor beam,0.0,Wood joist 12-0
Wood joist 12-0,end,B2 future floor beam @ 0.798401420959,connected,B2 future floor beam; Wood joist 12-1,0.0,Wood joist 12-0
Wood joist 12-1,start,B2 future floor beam @ 0.798401420959,connected,B2 future floor beam; Wood joist 12-0,0.0,Wood joist 12-1
Wood joist 12-1,end,T-N @ 0.798401420959,connected,T-N,0.0,Wood joist 12-1
Wood joist 13-0,start,T1 future floor beam @ 0.855239786856,connected,T1 future floor beam,0.0,Wood joist 13-0
Wood joist 13-0,end,B2 future floor beam @ 0.855239786856,connected,B2 future floor beam; Wood joist 13-1,0.0,Wood joist 13-0
Wood joist 13-1,start,B2 future floor beam @ 0.855239786856,connected,B2 future floor beam; Wood joist 13-0,0.0,Wood joist 13-1
Wood joist 13-1,end,T-N @ 0.855239786856,connected,T-N,0.0,Wood joist 13-1
Wood joist 14-0,start,T1 future floor beam @ 0.907637655417,connected,T1 future floor beam,0.0,Wood joist 14-0
Wood joist 14-0,end,B2 future floor beam @ 0.907637655417,connected,B2 future floor beam; Wood joist 14-1,0.0,Wood joist 14-0
Wood joist 14-1,start,B2 future floor beam @ 0.907637655417,connected,B2 future floor beam; Wood joist 14-0,0.0,Wood joist 14-1
Wood joist 14-1,end,T-N @ 0.907637655417,connected,T-N,0.0,Wood joist 14-1
T-N diagonal 9,start,north.center.bottom,connected,T-N; T-N upper east jamb,0.0,T-N diagonal 9 | HSS1-1/2X1-1/2X1/8
T-N diagonal 9,end,E.W4 @ 0.96043956044,connected,E.W4; T-N top / segment 1,0.0,T-N diagonal 9 | HSS1-1/2X1-1/2X1/8
