case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
roof_first_service,TS-P030,N100,interior_applied_load,,81.889,0.0,115.0,3.402464148673322e-14,-6.723893202251846,-7.464268378090071e-12,8.092765781045522e-14,4.470574429891374e-12,-6.928168478143057e-12
roof_first_service,TS-P031,N487,interior_applied_load,,81.889,0.0,153.373,-1.0526020211106578e-11,-13.447786458330697,2.80978958824128e-12,3.16953204526017e-12,-8.290903584423041e-12,7.057304093706262e-11
roof_first_service,TS-P032,N101,interior_applied_load,,85.448,0.0,115.0,4.0782456343516174e-15,-4.4825954860946275,1.0769740850401382e-11,-1.721676182574286e-13,-8.885336696050346e-12,-7.126077837006651e-11
roof_first_service,TS-P033,N102,interior_applied_load,,96.125,0.0,115.0,1.9073465029606496e-11,-6.723893285435607,4.084163496287374e-08,3.2327271082266407e-08,-1.0204982365598874e-10,7.626757558831798e-11
roof_first_service,TS-P034,N255,interior_applied_load,,96.125,0.0,117.5,-9.750086408317693e-11,-2.367586242628146,-1.0693261819223965e-08,1.430057176779132e-08,1.0604586398080786e-10,-5.132672145824189e-10
roof_first_service,TS-P035,N256,interior_applied_load,,96.125,0.0,134.437,-3.4513210268063164e-15,-4.73517248530601,-1.6349395351555837e-13,-3.013216060240818e-13,3.060339196200389e-16,2.3048284616253475e-14
roof_first_service,TS-P036,N257,interior_applied_load,,96.125,0.0,151.373,-1.5616024917619598e-08,-2.367586245302678,1.394310882307792e-07,1.7987749911796413e-07,3.8358784044521736e-11,2.366262741304581e-08
roof_first_service,TS-P037,N271,interior_applied_load,,96.125,0.0,153.373,-6.657033814830384e-09,-16.991343848447272,-3.3626828418578916e-07,4.2668726335910956e-07,-5.943699950021908e-11,6.313035044011074e-08
roof_first_service,TS-P038,N103,interior_applied_load,,106.802,0.0,115.0,1.4643845065801495e-13,-4.482595486123083,-1.7472115732271648e-12,8.307080757031317e-14,1.1668928710177855e-11,9.028830341065957e-12
roof_first_service,TS-P039,N104,interior_applied_load,,110.361,0.0,115.0,-3.074458905621022e-14,-6.7238932022555025,4.184098138377077e-12,-2.92918166752483e-13,3.661512593464253e-11,3.938786455189147e-11
roof_first_service,TS-P040,N488,interior_applied_load,,110.361,0.0,153.373,1.0834881272671187e-13,-13.447786458333027,-4.684363192153009e-12,3.372247936839371e-14,-5.3982367000428554e-12,-5.984194924050623e-12
roof_first_service,TS-P041,N272,interior_applied_load,,117.479,0.0,134.187,-2.6691455069835846e-13,-8.026152881102364,2.5711826469617667e-14,-2.393852144426578e-13,-7.662832860651104e-13,1.480575952919408e-13
roof_first_service,TS-P042,N105,interior_applied_load,,128.156,0.0,115.0,3.4259475691014645e-13,-8.965190972222677,-3.0175094049031207e-13,-4.898720734377921e-13,3.8749260190847875e-12,-5.354359766542499e-12
roof_first_service,TS-P043,N106,interior_applied_load,,138.833,0.0,115.0,1.7499905219257563e-08,-14.750046056811621,-3.692306729321327e-08,-6.728144648523335e-08,4.400716285483374e-10,5.386668027519043e-09
roof_first_service,TS-P044,N258,interior_applied_load,,138.833,0.0,117.5,-2.534670099043006e-08,-2.3675862436484514,4.406965646699008e-08,-3.1148235376426776e-08,-1.7537360870421057e-09,-1.7290049407815478e-08
roof_first_service,TS-P045,N259,interior_applied_load,,138.833,0.0,134.437,-7.279639928300947e-16,-4.735172485302685,-1.4248822770842471e-13,-5.574675736539675e-13,-2.2551504107591444e-16,2.993766117071033e-14
roof_first_service,TS-P046,N260,interior_applied_load,,138.833,0.0,151.373,3.815726207223591e-10,-2.3675862447871756,-5.6700659709085777e-08,-4.272827119899958e-09,-7.243652162412371e-14,1.7254003781275173e-11
roof_first_service,TS-P047,N489,interior_applied_load,,138.833,0.0,153.373,-1.5285311821764249e-09,-17.930381920817208,8.174666902249325e-08,-6.31202687481409e-08,2.309508294323781e-12,2.2323572763617648e-10
roof_first_service,TS-P048,N107,interior_applied_load,,149.51,0.0,115.0,4.658650991344881e-13,-8.965190945321028,-6.646012983398022e-12,5.391354975617193e-12,-9.747514242375627e-12,-1.4245762550626357e-11
roof_first_service,TS-P049,N273,interior_applied_load,,160.188,0.0,134.187,-1.5819373364047242e-13,-8.02615288109906,1.8059652788391502e-13,1.0433979664982088e-12,3.0209573228387727e-12,1.569001335977697e-13
roof_first_service,TS-P050,N108,interior_applied_load,,167.306,0.0,115.0,-2.6495186326496866e-14,-6.723893282898506,-1.6720353473220427e-12,-5.181863901060188e-13,-9.415309853629526e-12,-6.782286920315402e-11
roof_first_service,TS-P051,N490,interior_applied_load,,167.306,0.0,153.373,-2.961016587872433e-14,-13.447786404542406,2.8724694772677325e-12,3.893366593819842e-12,-3.0253746886885026e-11,-1.0680330967364169e-10
roof_first_service,TS-P052,N109,interior_applied_load,,170.865,0.0,115.0,1.2929176427251012e-12,-4.482595459170615,-2.889057045140548e-11,-6.6784856174720426e-15,-1.6342211746990356e-11,-5.660287424975229e-11
roof_first_service,TS-P053,N110,interior_applied_load,,181.542,0.0,115.0,-1.60671085325248e-08,-6.723893199339654,-5.886792675546815e-08,7.133189705577081e-09,2.4389907530356663e-12,2.146071942377148e-08
roof_first_service,TS-P054,N261,interior_applied_load,,181.542,0.0,117.5,3.709039517352327e-08,-2.3675862436998805,1.0049224586349553e-08,-1.768639976087937e-08,9.60205401316854e-12,5.2378458163849585e-08
