member,truss,role,section,section_key,length_ft,weight_lb,utilization,stage,case,compression_lb,tension_lb,My_lb_in,Mz_lb_in,web_pinned_utilization,base_pinned_utilization
T-S top / segment 1,TS,top_chord,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,21.354166666666668,46.97916666666667,0.1575752483064929,PDelta,strength_lateral_HX_2,982.0864239168295,702.172176063963,236.75144514269348,152.92420868896454,0.13561986111502464,0.13948856998626272
T1 top / segment 1,T1,top_chord,HSS2X2X1/8,HSS2x2x0.125,21.354166666666668,65.13020833333333,0.5841831857653859,complete,strength_HT0.5,8767.832676290513,44.63849390812902,106.47167737322596,1468.8731759363418,0.5945921691718434,0.5877628332789819
T-W top / segment 1,TW,top_chord,HSS2-1/2X2-1/2X1/8,HSS2.5x2.5x0.125,17.875,69.71249999999999,0.8296778448947242,complete,strength_roof,2669.1937465576484,5237.293523001042,842.9949740794416,19433.85405031675,0.8068638411370131,0.8062583910392191
T-W top / segment 2,TW,top_chord,HSS5X5X1/4,HSS5x5x0.25,10.853129240686492,169.525878739523,0.8778791298746218,roof_first,strength_lateral_HX_-2,446.86500435473863,1060.8823689968558,173783.9868848999,41465.50148347479,0.877086821716258,0.8695851622484361
T-E top / segment 1,TE,top_chord,HSS3X3X1/8,HSS3x3x0.125,17.670351423909047,83.93416926356797,0.8559909151912676,PDelta,strength_roof,9024.422400544601,0,1052.3960286048577,26690.77115652599,0.8364595604599644,0.8749463620730616
T-E top / segment 2,TE,top_chord,HSS4X4X3/16,HSS4x4x0.1875,10.853129240686492,102.23647744726675,0.8233613128567628,complete,strength_lateral_HX_2,3855.5055318611558,0,62311.6677883215,13027.168385403487,0.7964219407960481,0.8527342157967458
T-N top / segment 1,TN,top_chord,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,23.458333333333332,51.608333333333334,0.7723890008666873,complete,strength_lateral_HX_-2,4390.539608701889,2252.4252960354934,1823.6885424595719,696.0984752542772,0.7890938741922439,0.7848774200394779
BR-W-1,BR-W,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,10.70598223217074,23.55316091077563,0.35012255184869057,complete,strength_lateral_HZ_-2,818.9750891932018,0,125.64384413299709,187.95394499647833,0.3447106948253018,0.3747410895999135
BR-W-2,BR-W,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,10.70598223217074,23.55316091077563,0.6920383201355247,complete,strength_lateral_HX_-2,1543.1913100584782,0,765.7315186184052,202.44278364549214,0.6902521352904611,0.8351010377916759
BR-S-1,BR-S,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,11.061401389265486,24.33508305638407,0.396458141339789,roof_first,strength_lateral_HZ_-2,876.9791466466992,0,94.28796794421642,215.73769644091814,0.39499156425444276,0.40815747226924093
BR-S-2,BR-S,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,11.061401389265486,24.33508305638407,0.2539551146850381,PDelta,strength_lateral_HX_2,541.3349606933418,0,68.20037510682897,223.37051498186165,0.24909682888889267,0.3063031091221606
BR-R-main-1,BR-R,diagonal,HSS2-1/4X2-1/4X1/8,HSS2.25x2.25x0.125,24.276197547414856,84.4811674650037,0.7894014964866223,roof_first,strength_lateral_HX_-2,1107.2759356974275,0,3080.2049782235795,2469.048111619699,0.6904043581403797,0.6643438890475366
BR-R-main-2,BR-R,diagonal,HSS2X2X1/8,HSS2x2x0.125,24.276197547414856,74.04240251961531,0.8413338849366453,roof_first,strength_lateral_HX_2,794.1485951864161,0,2902.9191357579552,1857.3751652555077,0.755631282185124,0.6712338203265183
BR-R-cap-1,BR-R,diagonal,HSS3X3X3/16,HSS3x3x0.1875,22.498312050882593,154.5634037895634,0.8543001331040052,PDelta,strength_lateral_HX_2,5267.946131501463,0,5964.795428050265,5767.166784454043,0.8790479171647282,0.8913058134428552
BR-R-cap-2,BR-R,diagonal,HSS1-1/2X1-1/2X1/8,HSS1.5x1.5x0.125,22.498312050882593,49.496286511941705,0.6420914810967103,complete,strength_lateral_HZ_2,286.21512467218963,0,32.592680772751535,1631.3821574473359,0.6531194532435995,0.6537757216020694
BR-E-upper-1,BR-E,diagonal,HSS2X2X1/8,HSS2x2x0.125,10.117907406262837,30.859617589101653,0.5259818869566776,complete,strength_lateral_HZ_-2,3432.736110876882,0,946.4042541593064,355.7426052612045,0.494235738703608,0.532025382287243
BR-N-upper-1,BR-N,diagonal,HSS2-1/2X2-1/2X1/8,HSS2.5x2.5x0.125,11.54794504326299,45.03698566872566,0.8046767188226747,complete,strength_lateral_HX_-2,8435.372787879103,0,510.4632224056174,2175.6405985720376,0.7895699431115942,0.8702354686119619
BR-N-ground-1,BR-N-ground,diagonal,HSS2X2X1/8,HSS2x2x0.125,11.531527586240351,35.17115913803307,0.9511918281472074,roof_first,strength_lateral_HX_-2,5275.483607555616,0,147.3791001242689,454.2169426457877,0.8779764055140347,0.9792139719769383
BR-N-ground-2,BR-N-ground,diagonal,HSS2-1/4X2-1/4X1/8,HSS2.25x2.25x0.125,11.531527586240353,40.129716000116424,0.8375504575101343,complete,strength_lateral_HX_2,6380.3568757827015,0,1305.8931668153964,640.096460413608,0.8303024992074416,0.9744781033651218
BR-E-ground-1,BR-E-ground,diagonal,HSS2-1/2X2-1/2X1/8,HSS2.5x2.5x0.125,10.491398593345144,40.91645451404606,0.7113346295794406,PDelta,strength_lateral_HZ_-2,9735.327865421523,0,473.16457974824544,389.7768484563925,0.7173832521406186,0.8287235935787365
BR-E-ground-2,BR-E-ground,diagonal,HSS2-1/4X2-1/4X1/8,HSS2.25x2.25x0.125,10.491398593345144,36.5100671048411,0.8515380761789217,PDelta,strength_lateral_HZ_2,8295.421514354346,0,187.03098046460582,669.4219966415952,0.8561165373732983,0.9870591201157082
