assembly,id,x1,y1,z1,x2,y2,z2,length_in,width_in,depth_in
T-W,T-W.bottom.0,-34.0,-66.0,100.0,-34.0,269.0,100.0,335.0,3.0,3.0
T-W,T-W.top.6,-34.0,186.0,225.75,-34.0,246.0,225.75,60.0,3.0,3.0
T-W,T-W.upright.3,-34.0,69.75,100.0,-34.0,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T-W,T-W.top.0,-34.0,-66.0,103.84529946162075,-34.0,-2.0,140.79571668975677,73.90083445627208,3.0,3.0
T-W,T-W.upright.5,-34.0,185.0,100.0,-34.0,185.0,225.75,125.75,3.0,3.0
T-W,T-W.upright.1,-34.0,-2.0,100.0,-34.0,-2.0,140.79571668975677,40.79571668975677,3.0,3.0
T-W,T-W.web.3,-34.0,69.75,100.0,-34.0,145.145135013942,225.75,146.62021990083954,2.5,2.5
T-W,T-W.web.1,-34.0,-2.0,100.0,-34.0,0.0,141.95041722813605,41.99806549848092,2.5,2.5
T-W,T-W.upright.4,-34.0,145.145135013942,100.0,-34.0,145.145135013942,225.75,125.75,3.0,3.0
T-W,T-W.upright.8,-34.0,269.0,100.0,-34.0,269.0,225.75,125.75,3.0,3.0
T-W,T-W.web.0,-34.0,-66.0,100.0,-34.0,-2.0,140.79571668975677,75.89657765822449,2.5,2.5
T-W,T-W.top.7,-34.0,246.0,225.75,-34.0,269.0,225.75,23.0,3.0,3.0
T1,T1.upright.5,170.58333333333331,69.75,100.0,170.58333333333331,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.upright.4,129.66666666666666,69.75,100.0,129.66666666666666,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.bottom.0,-34.0,69.75,100.0,211.5,69.75,100.0,245.5,3.0,3.0
T1,T1.upright.2,47.83333333333333,69.75,100.0,47.83333333333333,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.upright.0,-34.0,69.75,100.0,-34.0,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.upright.3,88.75,69.75,100.0,88.75,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.upright.6,211.5,69.75,100.0,211.5,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.top.0,-34.0,69.75,182.22059850411244,211.5,69.75,182.22059850411244,245.5,3.0,3.0
T1,T1.brace.1,170.58333333333331,69.75,182.22059850411244,211.5,69.75,100.0,91.83899187973249,2.5,2.5
T1,T1.upright.1,6.916666666666664,69.75,100.0,6.916666666666664,69.75,182.22059850411244,82.22059850411244,3.0,3.0
T1,T1.brace.0,-34.0,69.75,100.0,6.916666666666664,69.75,182.22059850411244,91.83899187973248,2.5,2.5
