support,max_compression,max_uplift,max_vertical,max_shear
E-M option B.base,5117.8,0.0,8935.5,454.9
E-N.base,1326.8,0.0,1293.4,147.7
E-S.base,1405.9,0.0,2895.5,553.3
N1 / U-W.base,5842.6,0.0,11177.4,2980.4
N2.base,6397.4,0.0,18002.4,238.1
S1.base,6306.0,0.0,8291.3,1951.9
S2.base,6995.8,0.0,11413.4,2302.8
S3.base,2469.9,0.0,5031.5,74.7
W.SW0.base,-248.0,0.0,4681.7,251.8
W.W1.base,622.9,0.0,3676.3,310.4
W.W3.base,1664.0,0.0,24249.5,3394.7
W.W4.base,17992.0,0.0,10653.2,3376.1
