case,point,solver_node,kind,adjacent_members,x_east_in,y_north_in,z_up_in,FX_lb,FY_lb,FZ_lb,MX_lb_in,MY_lb_in,MZ_lb_in
service40,TS-P031,N560,interior_applied_load,,81.889,0.0,153.373,-1.7346142660449538e-11,-13.447786458335198,9.075982868901223e-12,5.333902184764735e-12,-5.180479974133227e-11,5.399010760847508e-11
service40,TS-P032,N102,interior_applied_load,,85.448,0.0,115.0,-4.230147319640084e-12,-26.05805476502361,-7.115439438276509e-12,-9.260874470409333e-13,5.174285492308813e-11,-4.072497247672833e-10
service40,TS-P033,N103,interior_applied_load,,96.125,0.0,115.0,1.8611068242080364e-10,-6.7238932790143675,1.297288187984691e-08,9.258530608846627e-09,-1.0767236806969423e-10,-9.969146397281747e-09
service40,TS-P034,N319,interior_applied_load,,96.125,0.0,117.5,6.214363594675784e-09,-2.3675862460973343,4.361406334289782e-09,2.785442874994072e-09,8.87750327877726e-11,1.0331217084907305e-08
service40,TS-P035,N320,interior_applied_load,,96.125,0.0,134.437,-1.3460549206778347e-13,-4.735172485305627,-1.1710709597866078e-13,-5.140957965844067e-13,6.683904862388908e-15,4.690502443806657e-13
service40,TS-P036,N321,interior_applied_load,,96.125,0.0,151.373,-2.4538763132575525e-08,-2.3675862442711355,2.937002734348937e-07,1.0639321512684319e-07,7.690530294400781e-11,9.507654818996514e-08
service40,TS-P037,N335,interior_applied_load,,96.125,0.0,153.373,-1.9646899403999675e-08,-16.99134385532661,-2.66801359452387e-07,5.4075945748862e-07,-1.1355173208154446e-10,8.749152897203634e-08
service40,TS-P038,N104,interior_applied_load,,106.802,0.0,115.0,2.6390012223739902e-12,-26.058054765097932,7.60418806275023e-12,3.6328892322447776e-13,-9.503356054437646e-12,3.5235250100674986e-11
service40,TS-P039,N105,interior_applied_load,,110.361,0.0,115.0,6.417302190683174e-13,-6.7238932022014,-5.892760678606179e-12,-2.2080984209015886e-13,1.9394589317080776e-11,3.1622592249822814e-11
service40,TS-P040,N561,interior_applied_load,,110.361,0.0,153.373,-4.141910109841329e-12,-13.447786458329988,-1.1229128787484913e-11,-3.29796899498119e-13,8.285042031856513e-12,-5.96590594828665e-11
service40,TS-P041,N336,interior_applied_load,,117.479,0.0,134.187,-6.907504550271262e-12,-8.026152881098565,-4.976782309248247e-13,-3.4828840663643723e-12,-2.8957281049325656e-12,-7.260770075607534e-13
service40,TS-P042,N106,interior_applied_load,,128.156,0.0,115.0,3.453066997959641e-12,-30.540650251157945,9.725148141669883e-13,3.7114500912863077e-13,-1.7702101892471287e-12,-8.712454781250392e-12
